City,Street,Accident_Count
Alamo,I-680 S,932
Alamo,I-680,119
Alamo, Danville Blvd,69
Alamo,Livorna Rd,67
Alamo,Danville Blvd,64
Alamo,Stone Valley Rd,52
Alamo, Stone Valley Rd,44
Alamo,US Highway 93,14
Alamo, Livorna Rd,12
Alamogordo, Highway 54 70,2
Alamogordo, US-54,2
Alamogordo,Highway 54 S,2
Alamogordo, Highway 70 W,1
Alamogordo, Highway 82,1
Alamogordo, N Florida Ave,1
Alamogordo,25th St,1
Alamogordo,Highway 70 W,1
Alamogordo,N White Sands Blvd,1
Alamogordo,US-70,1
Alamosa, E US Highway 160,13
Alamosa, US-160,6
Alamosa, W US Highway 160,6
Alamosa, West Ave,4
Alamosa, County Road 104 S,3
Alamosa, S County Road 6 E,3
Alamosa, Sierra Vista Rd,3
Alamosa,S County Road 106.1,3
Alamosa, County Road 10 S,2
Alamosa, Front St,2
Alanson, Burr Ave,4
Alanson, Milton Rd,4
Alanson, S US Highway 31,4
Alanson, N Conway Rd,3
Alanson, Luce St,2
Alanson, M 68,2
Alanson, Mission Rd,2
Alanson, N US Highway 31,2
Alanson,Burr Ave,2
Alanson, Oden Rd,1
Alapaha, US Highway 82,5
Alapaha,US-82,4
Alapaha,GA-11,2
Alapaha,Junior May Rd,2
Alapaha,US Highway 82,2
Alapaha, US Highway 129,1
Alapaha,County Road 103,1
Alapaha,Glory Rd,1
Alapaha,W Lenox Rd,1
Alba, W Greenville St,1
Alba,N FM 17,1
Albany,I-90 W,1128
Albany,I-90 E,1066
Albany,I-787 N,929
Albany,I-5 N,748
Albany,I-87 S,704
Albany,I-787 S,523
Albany,I-5 S,416
Albany,Adirondack Northway S,358
Albany,I-87 N,286
Albany,Adirondack Northway N,283
Albemarle, NC 73 Hwy,10
Albemarle, NC 24 27 73 Hwy,8
Albemarle, US Highway 52 N,5
Albemarle, S Business 52,4
Albemarle, St Martin Rd,4
Albemarle, NC-138,3
Albemarle, Old Aquadale Rd,3
Albemarle, April Ln,2
Albemarle, Mountain View Church Rd,2
Albemarle, NC 740 Hwy,2
Albers,Albers Rd,10
Albers,I-64 E,7
Albers,I-64 W,4
Albers,I-64,1
Albert City, 210th Ave,2
Albert City, 520th St,2
Albert City, 530th St,2
Albert City,230th Ave,1
Albert Lea,I-35 N,365
Albert Lea,I-35 S,213
Albert Lea,I-90 E,205
Albert Lea,I-90 W,66
Albert Lea,E Main St,35
Albert Lea,US-65 N,27
Albert Lea, State Highway 13,18
Albert Lea, Highway 69,9
Albert Lea, US Highway 69,8
Albert Lea, S Highway 69,7
Alberta,I-85 S,101
Alberta,I-85 N,83
Alberta,I-85,38
Alberta, Christanna Hwy,12
Alberta,Brunswick Dr,12
Alberta,Christanna Hwy,9
Alberta, Boydton Plank Rd,8
Alberta, Liberty Rd,7
Alberta, Brunswick Dr,5
Alberta, Prestwood Rd,4
Alberton,I-90 E,151
Alberton,I-90 W,92
Alberton, Southside Rd,3
Alberton, Petty Creek Rd,2
Alberton, Big Flat Rd,1
Alberton, Fork Fish Creek Rd,1
Alberton,Frontage Rd,1
Alberton,Railroad Ave,1
Alberton,S Side Rd,1
Albertson,Northern State Pkwy E,14
Albertson,Northern Pkwy,13
Albertson, Woodland Church Rd,9
